TransactionAmount,TransactionTime,TransactionType,MerchantCategory,TransactionLocation,DeviceType,TransactionFrequency,SpendingPattern,CardPresent,PastFraudHistory,Velocity,DistanceFromLast,AmountRatio,AccountAge,IsFraud
0.53,20.0,ATM,Groceries,Local,Desktop,11.0,Low,Yes,0.0,1.0,3524.6,0.01,116.0,0
163.22,18.0,Online,Groceries,Domestic,Mobile,13.0,Low,Yes,1.0,4.0,3849.5,1.38,229.0,0
148.2,20.0,Online,Clothing,International,Desktop,6.0,Medium,Yes,0.0,1.0,3176.7,1.16,152.0,0
79.5,19.0,POS,Clothing,Local,Tablet,14.0,Low,Yes,0.0,2.0,1367.8,3.33,157.0,0
6.88,17.0,POS,Others,Local,Desktop,7.0,Low,Yes,0.0,2.0,1999.6,0.12,81.0,0
145.46,10.0,POS,Electronics,Local,Mobile,12.0,Low,No,0.0,1.0,2353.0,2.29,103.0,0
87.64,19.0,ATM,Clothing,Domestic,Mobile,1.0,Low,Yes,0.0,1.0,726.5,1.36,216.0,0
152.31,2.0,Online,Others,Domestic,POS_Terminal,10.0,Low,No,0.0,2.0,2261.1,2.42,17.0,0
139.33,16.0,Online,Electronics,International,Tablet,1.0,Low,Yes,0.0,1.0,806.0,2.02,101.0,0
162.46,11.0,POS,Groceries,Local,Tablet,16.0,High,Yes,0.0,2.0,2497.3,2.41,70.0,0
72.98,9.0,ATM,Electronics,Domestic,Desktop,7.0,Low,Yes,0.0,1.0,254.1,0.41,64.0,0
15.12,7.0,Online,Groceries,Local,Desktop,6.0,Medium,Yes,0.0,3.0,4742.7,0.2,106.0,0
111.22,14.0,POS,Groceries,International,Tablet,18.0,Low,Yes,0.0,1.0,1231.7,1.34,101.0,0
96.88,4.0,ATM,Travel,Local,Tablet,4.0,High,Yes,0.0,1.0,2335.1,1.43,238.0,0
135.58,3.0,POS,Groceries,Local,Tablet,16.0,Medium,Yes,0.0,4.0,163.8,0.7,159.0,0
18.62,20.0,POS,Groceries,Domestic,Mobile,1.0,Low,Yes,0.0,3.0,963.6,0.16,57.0,0
21.69,19.0,POS,Others,Domestic,Desktop,2.0,Low,Yes,0.0,2.0,3466.2,0.17,148.0,0
221.1,18.0,ATM,Electronics,Local,Tablet,16.0,Medium,No,0.0,2.0,559.0,1.45,174.0,0
138.62,20.0,ATM,Groceries,Local,Mobile,9.0,Low,Yes,0.0,5.0,3140.7,1.73,130.0,0
238.85,3.0,POS,Groceries,Local,Desktop,15.0,Low,Yes,0.0,3.0,10.3,1.23,105.0,0
142.18,14.0,Online,Groceries,Local,Desktop,16.0,Low,Yes,0.0,3.0,2325.0,3.0,82.0,0
90.92,16.0,Online,Groceries,Local,Desktop,9.0,Low,No,0.0,1.0,3606.7,0.89,50.0,0
106.17,11.0,Online,Luxury,,Tablet,7.0,Low,Yes,0.0,4.0,4631.5,2.3,188.0,0
219.94,2.0,POS,Groceries,Local,Mobile,10.0,Low,Yes,0.0,2.0,2464.2,1.36,214.0,0
86.47,9.0,Online,Clothing,Domestic,Tablet,7.0,Low,No,0.0,2.0,4202.7,2.2,41.0,0
100.07,14.0,Online,Groceries,Domestic,Mobile,13.0,High,Yes,0.0,4.0,4013.0,0.84,229.0,0
17.02,9.0,POS,Others,Domestic,POS_Terminal,2.0,High,No,0.0,4.0,1478.9,0.44,90.0,0
64.23,23.0,POS,Clothing,International,Mobile,12.0,Low,Yes,0.0,3.0,4373.7,0.63,76.0,0
126.02,22.0,Online,Others,Domestic,Tablet,13.0,Low,Yes,0.0,4.0,3201.4,1.79,198.0,0
31.6,17.0,POS,Electronics,Local,Desktop,3.0,High,No,0.0,4.0,520.9,0.17,145.0,0
22.6,0.0,ATM,Luxury,Local,Mobile,11.0,Medium,Yes,0.0,1.0,4695.6,0.76,206.0,0
37.66,2.0,POS,Others,Local,Desktop,8.0,High,No,0.0,3.0,883.4,0.27,138.0,0
27.64,20.0,ATM,Travel,Local,POS_Terminal,11.0,Low,Yes,0.0,5.0,2351.8,0.19,90.0,0
24.2,11.0,POS,Groceries,Local,Mobile,18.0,Low,No,0.0,5.0,2331.8,0.13,115.0,0
55.31,0.0,POS,Groceries,Domestic,Mobile,7.0,High,Yes,0.0,2.0,3126.2,0.31,195.0,0
238.42,2.0,POS,Groceries,Local,Desktop,12.0,Low,Yes,0.0,4.0,3324.8,1.22,170.0,0
70.74,2.0,Online,Groceries,Local,Mobile,6.0,Medium,Yes,0.0,1.0,1164.5,1.08,238.0,0
20.82,4.0,Online,Travel,International,POS_Terminal,10.0,Medium,Yes,0.0,4.0,1762.2,0.3,207.0,0
8.01,18.0,POS,Clothing,Local,Mobile,15.0,High,Yes,0.0,2.0,723.0,0.09,144.0,0
119.12,0.0,POS,Clothing,Local,Desktop,15.0,High,Yes,0.0,4.0,630.1,1.02,166.0,0
48.26,3.0,Online,Groceries,Domestic,Mobile,19.0,Low,Yes,0.0,5.0,4125.3,0.56,142.0,0
172.5,3.0,POS,Groceries,Domestic,Mobile,6.0,Low,Yes,0.0,3.0,3753.6,1.13,164.0,0
107.74,16.0,Online,Groceries,Local,Mobile,19.0,Low,Yes,0.0,4.0,2213.4,5.0,141.0,0
159.08,13.0,POS,Electronics,Domestic,Desktop,15.0,High,Yes,0.0,5.0,479.5,6.86,187.0,0
31.74,17.0,Online,Travel,Local,Desktop,18.0,Low,No,0.0,5.0,2249.6,0.21,155.0,0
117.88,0.0,Online,Groceries,Local,Mobile,2.0,Low,Yes,0.0,2.0,1472.3,0.66,8.0,0
30.66,21.0,ATM,Clothing,Local,Tablet,7.0,High,Yes,0.0,3.0,3889.6,0.19,87.0,0
279.8,15.0,Online,Electronics,Domestic,Desktop,5.0,Medium,Yes,0.0,2.0,483.2,6.81,233.0,0
101.16,2.0,POS,Others,Local,Mobile,3.0,High,Yes,0.0,1.0,2256.8,0.54,53.0,0
39.23,22.0,POS,Groceries,Domestic,Mobile,6.0,Medium,No,0.0,3.0,2956.9,0.34,203.0,0
31.4,20.0,Online,Electronics,Local,Mobile,6.0,Low,Yes,0.0,1.0,4928.6,0.2,133.0,0
21.19,8.0,Online,Groceries,Domestic,Mobile,1.0,Low,Yes,0.0,3.0,448.0,0.38,133.0,0
118.63,22.0,ATM,Electronics,Domestic,Desktop,19.0,Low,No,0.0,5.0,569.8,1.0,217.0,0
24.68,3.0,Online,Clothing,Local,Tablet,12.0,Low,Yes,0.0,1.0,4940.2,0.31,82.0,0
90.46,20.0,Online,Travel,Local,POS_Terminal,5.0,Medium,Yes,0.0,3.0,2028.1,0.46,48.0,0
30.74,4.0,POS,Groceries,Domestic,Tablet,7.0,Low,Yes,0.0,3.0,3718.6,0.29,24.0,0
108.46,10.0,POS,Groceries,Local,Mobile,8.0,Low,Yes,1.0,1.0,3917.4,0.7,201.0,0
168.71,20.0,POS,Clothing,Local,Mobile,19.0,Medium,No,0.0,3.0,1572.8,1.31,235.0,0
150.52,8.0,POS,Electronics,Local,POS_Terminal,6.0,High,No,0.0,2.0,1071.5,4.07,203.0,0
143.07,2.0,Online,Electronics,Local,Desktop,15.0,High,No,0.0,2.0,1380.5,1.22,206.0,0
20.79,5.0,POS,Luxury,Local,Mobile,6.0,Medium,No,0.0,1.0,3822.0,0.18,42.0,0
9.25,23.0,POS,Electronics,Local,Mobile,9.0,Low,No,0.0,5.0,4202.4,0.06,137.0,0
120.05,10.0,POS,Clothing,Domestic,Desktop,4.0,High,No,0.0,4.0,3497.5,1.54,192.0,0
45.94,8.0,POS,Clothing,Local,Desktop,16.0,Medium,Yes,0.0,1.0,2206.1,0.26,197.0,0
56.62,14.0,POS,Luxury,Local,Tablet,10.0,High,Yes,0.0,1.0,1312.8,0.43,122.0,0
3.16,22.0,Online,Clothing,International,Mobile,1.0,Medium,Yes,0.0,1.0,2126.2,0.12,91.0,0
30.05,2.0,POS,Groceries,Domestic,Mobile,11.0,Low,Yes,0.0,1.0,4572.6,0.2,139.0,0
3.43,0.0,Online,Electronics,Local,Desktop,17.0,High,Yes,0.0,2.0,4316.0,0.02,220.0,0
211.35,19.0,Online,Others,Local,Mobile,18.0,Medium,No,0.0,1.0,1616.9,1.48,137.0,0
27.89,21.0,ATM,Groceries,Local,Desktop,15.0,Low,Yes,0.0,5.0,1639.7,0.32,77.0,0
81.49,18.0,POS,Clothing,Local,Desktop,6.0,Low,Yes,0.0,4.0,3899.9,0.65,61.0,0
3.98,13.0,POS,Luxury,International,Mobile,16.0,Low,Yes,0.0,4.0,2132.9,0.08,83.0,0
109.92,16.0,POS,Clothing,Domestic,Desktop,2.0,Medium,Yes,0.0,5.0,2863.6,0.86,72.0,0
39.01,21.0,POS,Electronics,International,Mobile,3.0,Medium,Yes,0.0,1.0,2111.6,0.35,55.0,0
228.2,13.0,ATM,Groceries,Domestic,Desktop,17.0,Low,Yes,0.0,4.0,1211.7,9.24,196.0,0
219.03,16.0,Online,Electronics,Local,Desktop,8.0,High,No,0.0,2.0,944.3,2.81,108.0,0
39.35,13.0,Online,Groceries,Domestic,Mobile,15.0,Medium,No,0.0,4.0,697.7,0.72,25.0,0
231.22,11.0,POS,Others,Domestic,Desktop,13.0,Low,Yes,0.0,5.0,57.1,2.56,127.0,0
556.17,15.0,Online,Travel,Local,Mobile,19.0,Low,Yes,0.0,4.0,1403.1,8.75,199.0,0
174.53,0.0,POS,Travel,Local,Mobile,1.0,High,No,0.0,5.0,857.0,1.03,56.0,0
186.35,12.0,Online,Electronics,Local,Mobile,12.0,Low,Yes,0.0,1.0,,1.28,27.0,0
28.64,5.0,Online,Groceries,Local,Mobile,18.0,High,Yes,0.0,4.0,379.0,0.19,232.0,0
85.97,16.0,POS,Groceries,Domestic,Tablet,18.0,Low,Yes,0.0,5.0,1707.8,1.01,151.0,0
6.96,11.0,POS,Groceries,Domestic,Mobile,3.0,Low,Yes,0.0,2.0,2599.8,0.34,40.0,0
9.97,22.0,Online,Electronics,International,Desktop,18.0,Medium,No,0.0,2.0,4722.9,0.17,115.0,0
680.58,18.0,POS,Electronics,Domestic,POS_Terminal,17.0,Medium,Yes,0.0,3.0,1735.4,4.36,221.0,0
39.55,5.0,POS,Electronics,Domestic,Mobile,11.0,Low,Yes,0.0,4.0,155.1,0.31,58.0,0
137.91,6.0,POS,Electronics,Local,Mobile,5.0,High,Yes,0.0,1.0,1811.8,1.18,36.0,0
164.33,0.0,POS,Others,Local,Mobile,7.0,Low,No,0.0,3.0,4086.1,2.33,202.0,0
195.21,0.0,Online,Groceries,International,Mobile,18.0,High,Yes,0.0,4.0,1700.7,5.8,160.0,0
604.41,4.0,Online,Clothing,Domestic,Mobile,7.0,Medium,Yes,0.0,2.0,1458.7,3.75,239.0,0
27.64,5.0,Online,Groceries,Domestic,Tablet,18.0,Low,Yes,0.0,1.0,4595.0,1.03,128.0,0
4.12,15.0,POS,Electronics,Local,Mobile,2.0,Medium,No,0.0,2.0,1486.1,0.13,151.0,0
52.97,15.0,Online,Groceries,Domestic,Desktop,6.0,High,No,0.0,4.0,4851.3,0.72,168.0,0
13.94,13.0,ATM,Clothing,Domestic,Mobile,8.0,Medium,No,0.0,1.0,4163.2,0.11,111.0,0
2.27,0.0,POS,Groceries,Local,Mobile,17.0,Medium,Yes,1.0,1.0,3421.2,0.01,176.0,0
44.7,12.0,POS,Groceries,Domestic,Mobile,4.0,Low,Yes,0.0,3.0,2991.6,1.23,152.0,0
153.13,19.0,ATM,Luxury,Local,Mobile,17.0,Medium,No,0.0,1.0,1123.9,1.46,213.0,0
83.51,9.0,POS,Groceries,Local,Mobile,16.0,High,No,0.0,4.0,3652.0,0.65,167.0,0
37.51,23.0,POS,Electronics,Domestic,Desktop,15.0,Medium,Yes,0.0,5.0,1735.7,0.22,40.0,0
106.23,9.0,POS,Electronics,Local,Desktop,15.0,Medium,Yes,0.0,5.0,2428.2,0.74,29.0,0
26.4,8.0,POS,Electronics,Local,Mobile,8.0,Low,Yes,0.0,1.0,520.3,0.16,45.0,0
1.45,12.0,POS,Travel,Domestic,Tablet,17.0,High,Yes,0.0,5.0,1480.8,0.01,109.0,0
144.54,2.0,POS,Clothing,Domestic,Mobile,19.0,Low,No,1.0,4.0,2645.6,1.47,91.0,0
97.75,17.0,Online,Groceries,Local,Mobile,1.0,Medium,Yes,0.0,3.0,2340.2,0.74,34.0,0
143.68,19.0,POS,Groceries,International,Tablet,13.0,Low,No,0.0,2.0,1717.6,0.79,90.0,0
3.97,1.0,Online,Travel,Local,POS_Terminal,6.0,Low,Yes,0.0,2.0,2359.6,0.03,15.0,0
181.47,16.0,POS,Electronics,International,Tablet,10.0,Medium,Yes,0.0,4.0,3724.6,1.41,70.0,0
96.63,18.0,ATM,Others,Domestic,Mobile,1.0,Medium,Yes,0.0,3.0,2296.6,1.2,217.0,0
82.87,22.0,ATM,Electronics,Local,POS_Terminal,12.0,High,Yes,0.0,4.0,2530.8,0.65,82.0,0
97.98,12.0,Online,Travel,Local,Desktop,19.0,Low,No,0.0,1.0,3505.7,0.74,71.0,0
199.83,12.0,ATM,Others,Local,Desktop,15.0,Low,Yes,0.0,3.0,4208.1,1.28,130.0,0
88.42,0.0,Online,Clothing,Local,POS_Terminal,5.0,High,Yes,0.0,5.0,2634.3,0.72,98.0,0
86.98,1.0,ATM,Electronics,Domestic,Tablet,2.0,Low,Yes,0.0,1.0,4740.9,1.57,129.0,0
467.55,0.0,POS,Clothing,Local,Desktop,19.0,Medium,Yes,0.0,5.0,1767.2,3.75,121.0,0
141.36,23.0,POS,Clothing,Local,Tablet,14.0,High,Yes,0.0,1.0,1262.8,1.92,182.0,0
58.39,4.0,Online,Clothing,Domestic,Mobile,9.0,High,Yes,0.0,1.0,3465.4,1.63,125.0,0
122.89,23.0,POS,Groceries,Local,Desktop,1.0,Low,Yes,0.0,1.0,878.7,0.73,110.0,0
49.3,2.0,Online,Clothing,Local,Mobile,13.0,Medium,Yes,0.0,1.0,4499.8,1.55,130.0,0
25.99,6.0,ATM,Groceries,Local,POS_Terminal,17.0,Medium,Yes,0.0,3.0,1932.9,0.19,234.0,0
90.85,23.0,POS,Groceries,Domestic,Desktop,2.0,Low,Yes,0.0,3.0,3490.7,0.46,164.0,0
263.36,21.0,Online,Clothing,Domestic,Tablet,14.0,Low,Yes,0.0,1.0,2850.9,7.36,196.0,0
264.7,12.0,POS,Groceries,Domestic,Desktop,6.0,High,No,0.0,4.0,272.0,4.44,28.0,0
41.84,22.0,POS,Travel,Local,Tablet,6.0,Low,Yes,0.0,1.0,3545.4,0.27,215.0,0
75.01,17.0,Online,Others,Local,Mobile,18.0,Medium,Yes,0.0,1.0,3950.0,2.0,103.0,0
23.78,23.0,POS,Others,Local,Desktop,19.0,Medium,Yes,0.0,4.0,4912.4,0.14,148.0,0
543.32,20.0,Online,Clothing,Local,Tablet,9.0,Low,Yes,1.0,4.0,2080.6,27.1,165.0,0
396.95,6.0,Online,Electronics,Local,Mobile,15.0,Low,No,0.0,1.0,2514.7,2.2,59.0,0
104.84,0.0,POS,Electronics,Local,Mobile,7.0,Medium,No,0.0,2.0,4374.3,3.27,44.0,0
163.18,4.0,Online,Electronics,Local,Desktop,6.0,Low,Yes,0.0,2.0,1346.0,0.88,140.0,0
125.56,16.0,Online,Groceries,Domestic,Mobile,5.0,Medium,Yes,0.0,4.0,945.7,0.71,32.0,0
89.93,7.0,POS,Electronics,Local,Mobile,19.0,Low,Yes,0.0,1.0,664.6,0.77,38.0,0
5.48,14.0,POS,Travel,Local,Mobile,1.0,Low,Yes,0.0,5.0,4891.3,0.03,31.0,0
60.65,19.0,ATM,Groceries,International,Mobile,7.0,Low,No,0.0,5.0,1351.8,1.81,18.0,0
112.33,3.0,Online,Groceries,Local,Tablet,18.0,Low,Yes,0.0,1.0,3787.0,2.53,157.0,0
113.18,1.0,POS,Travel,Local,POS_Terminal,8.0,Low,Yes,0.0,1.0,2248.3,1.31,226.0,0
46.7,4.0,POS,Groceries,International,Tablet,12.0,Medium,Yes,0.0,1.0,1202.9,0.4,51.0,0
284.2,0.0,Online,Groceries,International,Mobile,10.0,Low,No,0.0,5.0,4566.7,1.61,157.0,0
18.32,4.0,Online,Groceries,Local,Tablet,6.0,Low,No,0.0,5.0,2319.0,0.16,91.0,0
69.39,5.0,POS,Travel,Domestic,Desktop,16.0,Low,No,0.0,4.0,2829.8,0.5,223.0,0
117.4,1.0,Online,Clothing,Local,Tablet,19.0,Medium,Yes,0.0,3.0,1112.5,0.82,63.0,0
119.45,0.0,POS,Clothing,Domestic,Desktop,18.0,Medium,No,0.0,4.0,1620.8,0.67,112.0,0
104.59,3.0,Online,Groceries,International,Mobile,13.0,Low,Yes,0.0,4.0,3738.4,0.65,226.0,0
32.2,6.0,POS,Clothing,Local,Desktop,7.0,Medium,Yes,0.0,2.0,1715.2,0.16,81.0,0
16.98,21.0,POS,Clothing,Domestic,Desktop,7.0,Medium,Yes,0.0,4.0,2529.8,0.72,20.0,0
101.04,0.0,POS,Electronics,Domestic,Tablet,16.0,Low,No,0.0,4.0,571.8,1.76,159.0,0
91.45,0.0,ATM,Electronics,Local,Tablet,10.0,High,Yes,1.0,4.0,4250.3,0.49,31.0,0
19.77,7.0,Online,Clothing,Domestic,Mobile,15.0,Low,No,0.0,4.0,3687.9,0.12,186.0,0
122.13,19.0,Online,Electronics,Local,Tablet,14.0,Low,Yes,0.0,3.0,3803.7,1.79,231.0,0
60.73,15.0,Online,Clothing,Local,Desktop,12.0,Medium,No,0.0,2.0,890.9,0.31,85.0,0
110.19,20.0,POS,Groceries,International,Mobile,15.0,Low,Yes,0.0,5.0,2475.8,0.62,135.0,0
181.63,12.0,ATM,Clothing,Local,Desktop,8.0,Low,No,0.0,1.0,137.7,5.74,224.0,0
18.6,22.0,POS,Electronics,Local,Mobile,7.0,High,Yes,0.0,5.0,1575.4,0.11,12.0,0
1.93,23.0,Online,Electronics,Domestic,Mobile,9.0,Medium,Yes,0.0,2.0,1740.1,0.01,215.0,0
151.01,22.0,POS,Electronics,International,Mobile,14.0,Low,Yes,0.0,4.0,4568.5,2.52,189.0,0
94.08,17.0,POS,Others,Domestic,Mobile,7.0,High,Yes,0.0,5.0,4963.9,0.67,43.0,0
120.28,19.0,Online,Luxury,Local,Mobile,12.0,Low,Yes,0.0,4.0,3088.7,0.62,49.0,0
182.11,9.0,Online,Clothing,Local,Tablet,14.0,Low,Yes,0.0,3.0,2583.8,1.29,107.0,0
162.36,11.0,Online,Travel,Local,Mobile,11.0,Low,Yes,0.0,3.0,2200.4,0.98,40.0,0
324.21,0.0,Online,Groceries,Local,Desktop,19.0,Medium,No,0.0,2.0,91.5,8.56,198.0,0
76.77,9.0,POS,Travel,International,Desktop,6.0,Low,Yes,0.0,5.0,4000.6,0.51,160.0,0
67.04,8.0,ATM,Electronics,Domestic,Mobile,3.0,Medium,Yes,0.0,3.0,3359.1,1.18,191.0,0
51.4,2.0,POS,Electronics,Local,POS_Terminal,6.0,Low,Yes,0.0,2.0,3246.4,1.56,230.0,0
16.69,18.0,Online,Groceries,Local,Desktop,9.0,Medium,No,0.0,2.0,4045.2,0.14,15.0,0
85.01,8.0,Online,Groceries,International,Tablet,2.0,Low,No,0.0,2.0,4640.3,0.55,90.0,0
32.44,9.0,POS,Groceries,Domestic,Desktop,6.0,Low,Yes,0.0,5.0,1947.7,0.27,212.0,0
254.22,18.0,POS,Groceries,Local,Tablet,14.0,High,No,0.0,5.0,2132.0,1.35,12.0,0
87.51,15.0,POS,Groceries,Domestic,POS_Terminal,19.0,Low,Yes,0.0,2.0,4875.7,0.6,233.0,0
89.85,23.0,POS,Travel,Local,Mobile,4.0,Medium,Yes,0.0,1.0,3322.1,2.18,237.0,0
43.84,17.0,POS,Groceries,Domestic,Desktop,14.0,Low,Yes,0.0,5.0,4256.8,0.23,111.0,0
5.34,13.0,POS,Electronics,Domestic,Desktop,10.0,Medium,No,0.0,5.0,1107.8,0.11,239.0,0
3.23,2.0,POS,Luxury,Domestic,POS_Terminal,6.0,Low,No,0.0,1.0,1585.4,0.02,154.0,0
55.05,1.0,Online,Groceries,Local,Mobile,11.0,Medium,No,0.0,5.0,1958.0,1.18,158.0,0
8.84,0.0,Online,Luxury,Local,Desktop,13.0,Medium,Yes,0.0,5.0,1584.7,0.04,93.0,0
93.36,17.0,POS,Clothing,Local,Mobile,18.0,Low,Yes,0.0,3.0,4421.2,1.17,158.0,0
212.84,23.0,POS,Electronics,International,POS_Terminal,14.0,Low,Yes,1.0,1.0,2557.6,1.95,77.0,0
214.49,8.0,POS,Groceries,International,Desktop,11.0,Medium,Yes,0.0,3.0,4768.2,2.06,233.0,0
107.6,12.0,Online,Groceries,Domestic,Tablet,5.0,Low,Yes,1.0,1.0,1606.6,2.81,190.0,0
23.73,1.0,Online,Electronics,International,Tablet,8.0,High,No,0.0,1.0,186.2,0.22,171.0,0
198.78,6.0,Online,Groceries,Domestic,Desktop,4.0,Low,Yes,0.0,1.0,690.3,4.24,22.0,0
217.24,15.0,Online,Groceries,Local,Desktop,12.0,Low,Yes,0.0,5.0,1085.4,1.32,235.0,0
21.9,20.0,Online,Groceries,Domestic,Desktop,6.0,Low,Yes,1.0,2.0,3199.8,0.11,233.0,0
133.72,18.0,Online,Clothing,Local,Desktop,8.0,Low,No,0.0,4.0,905.4,0.81,17.0,0
33.76,14.0,POS,Groceries,Local,Desktop,4.0,Low,Yes,0.0,2.0,1907.5,0.35,151.0,0
162.27,21.0,Online,Travel,Local,Mobile,10.0,Low,Yes,0.0,5.0,3976.9,7.94,25.0,0
589.18,10.0,ATM,Groceries,Local,Mobile,11.0,Low,Yes,0.0,5.0,623.8,22.15,70.0,0
3.05,0.0,Online,Travel,Domestic,POS_Terminal,15.0,Low,Yes,0.0,4.0,402.4,0.03,37.0,0
227.66,20.0,Online,Groceries,Local,Mobile,5.0,Low,Yes,0.0,5.0,2699.9,1.6,218.0,0
97.45,6.0,POS,Travel,Local,Tablet,3.0,Low,Yes,0.0,1.0,3490.3,0.58,57.0,0
362.62,19.0,ATM,Electronics,Domestic,Mobile,15.0,Low,Yes,0.0,3.0,4554.8,2.83,213.0,0
62.55,7.0,POS,Clothing,Domestic,Desktop,2.0,Low,Yes,0.0,3.0,3309.9,0.32,99.0,0
187.99,9.0,POS,Groceries,Local,Mobile,2.0,Medium,No,0.0,1.0,4730.9,1.73,70.0,0
6.44,4.0,POS,Electronics,Local,Desktop,8.0,Medium,No,0.0,2.0,1222.6,0.05,22.0,0
40.84,8.0,ATM,Groceries,Local,Mobile,14.0,High,Yes,0.0,3.0,1709.1,0.66,209.0,0
6.94,0.0,ATM,Electronics,Domestic,Desktop,9.0,Low,No,0.0,1.0,4196.5,0.09,203.0,0
370.27,1.0,ATM,Groceries,Domestic,Desktop,5.0,Low,No,0.0,2.0,4055.3,2.59,4.0,0
169.81,18.0,Online,Electronics,Local,Tablet,12.0,Low,Yes,0.0,3.0,3324.5,1.32,58.0,0
191.42,13.0,POS,Groceries,International,Desktop,10.0,Low,Yes,0.0,1.0,2530.1,2.21,172.0,0
278.01,19.0,ATM,Groceries,Local,POS_Terminal,1.0,High,Yes,0.0,3.0,88.6,6.92,74.0,0
8.89,9.0,ATM,Clothing,Local,Tablet,19.0,Low,No,0.0,3.0,1402.2,0.11,,0
48.71,8.0,Online,Others,Local,Mobile,11.0,Low,Yes,0.0,3.0,791.7,1.74,230.0,0
7.37,9.0,POS,Electronics,Local,Mobile,17.0,Low,Yes,0.0,4.0,255.9,0.06,146.0,0
23.67,5.0,Online,Clothing,International,Mobile,3.0,High,Yes,0.0,2.0,3880.4,0.3,181.0,0
26.05,16.0,ATM,Clothing,Local,Mobile,1.0,Medium,Yes,0.0,3.0,656.6,0.29,19.0,0
63.32,5.0,ATM,Electronics,Local,Desktop,17.0,Low,No,0.0,1.0,1787.1,0.51,86.0,0
31.27,3.0,ATM,Groceries,Local,POS_Terminal,6.0,High,No,0.0,4.0,4887.3,0.25,61.0,0
10.64,19.0,ATM,Groceries,Local,Desktop,13.0,High,Yes,0.0,5.0,2045.8,0.08,57.0,0
18.33,2.0,ATM,Others,Local,Tablet,4.0,Low,Yes,0.0,5.0,707.5,0.17,79.0,0
15.93,22.0,Online,Electronics,Local,Mobile,5.0,Low,Yes,0.0,2.0,3448.8,0.15,44.0,0
361.48,18.0,Online,Clothing,Local,Mobile,15.0,Low,Yes,0.0,1.0,4049.7,2.15,147.0,0
142.42,17.0,POS,Clothing,Local,Tablet,14.0,Medium,Yes,0.0,4.0,1395.8,1.37,153.0,0
343.46,23.0,Online,Electronics,Domestic,Mobile,19.0,Low,No,0.0,1.0,4046.8,2.95,37.0,0
57.94,3.0,Online,Electronics,Domestic,Tablet,15.0,High,Yes,0.0,4.0,1357.6,0.29,146.0,0
32.62,7.0,ATM,Clothing,Local,Mobile,12.0,Low,Yes,0.0,4.0,3465.6,0.62,58.0,0
160.09,16.0,POS,Groceries,Local,Tablet,18.0,High,Yes,0.0,5.0,624.0,1.06,12.0,0
39.49,4.0,POS,Electronics,Domestic,Tablet,14.0,Medium,Yes,0.0,2.0,2139.1,0.38,32.0,0
35.58,12.0,POS,Electronics,Local,Desktop,10.0,Medium,Yes,0.0,2.0,2602.5,0.21,154.0,0
26.46,0.0,Online,Others,Local,Tablet,8.0,Low,Yes,0.0,1.0,3626.4,0.29,154.0,0
13.89,12.0,Online,Electronics,Domestic,Mobile,4.0,High,Yes,0.0,4.0,3250.2,0.19,175.0,0
29.63,3.0,POS,Clothing,Domestic,Mobile,18.0,Medium,No,0.0,4.0,4266.7,0.52,170.0,0
43.9,21.0,POS,Groceries,Local,Mobile,8.0,Medium,Yes,0.0,3.0,921.5,0.25,220.0,0
112.08,23.0,POS,Groceries,Local,Mobile,4.0,Low,Yes,0.0,2.0,3306.2,0.75,89.0,0
6.46,13.0,POS,Others,Local,Desktop,11.0,High,No,0.0,4.0,638.8,0.19,222.0,0
23.64,2.0,POS,Travel,Domestic,Tablet,5.0,Low,Yes,0.0,1.0,2390.4,0.16,51.0,0
165.56,4.0,POS,Electronics,Local,Mobile,10.0,High,Yes,0.0,5.0,2622.8,6.29,41.0,0
15.89,6.0,POS,Clothing,Local,POS_Terminal,6.0,Low,Yes,0.0,5.0,136.3,0.3,230.0,0
41.95,0.0,POS,Groceries,Local,POS_Terminal,4.0,Medium,No,0.0,2.0,351.8,0.33,206.0,0
200.0,22.0,POS,Travel,Local,Tablet,18.0,High,Yes,0.0,2.0,4196.4,1.93,193.0,0
16.83,11.0,ATM,Groceries,Local,POS_Terminal,17.0,Low,Yes,0.0,3.0,1433.9,0.1,97.0,0
8.64,10.0,POS,Travel,Local,Tablet,7.0,Medium,Yes,0.0,2.0,1730.7,0.07,61.0,0
66.27,23.0,POS,Clothing,Local,Desktop,9.0,Low,Yes,0.0,4.0,3202.0,0.34,127.0,0
36.01,7.0,POS,Groceries,Domestic,Desktop,3.0,Low,Yes,0.0,4.0,1103.6,0.21,203.0,0
82.88,5.0,POS,Others,Local,Desktop,9.0,Medium,No,0.0,4.0,964.3,1.02,35.0,0
162.86,21.0,POS,Others,Domestic,Mobile,4.0,Low,Yes,0.0,4.0,2107.7,0.96,85.0,0
14.75,1.0,POS,Groceries,Local,Mobile,19.0,Low,Yes,0.0,3.0,295.0,0.08,22.0,0
86.92,18.0,Online,Luxury,Domestic,Desktop,9.0,Low,Yes,0.0,2.0,4584.9,0.45,197.0,0
70.42,19.0,Online,Travel,International,Mobile,6.0,Low,Yes,1.0,2.0,4700.5,3.16,40.0,0
15.56,19.0,Online,Travel,Local,POS_Terminal,11.0,Medium,Yes,0.0,2.0,2241.0,0.09,54.0,0
97.82,23.0,Online,Others,International,Desktop,15.0,Low,Yes,0.0,3.0,1046.2,3.0,210.0,0
